n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,41.782397,12.2402442,Rwy_01_002,1,41.782685,12.2401154
Rwy_01_002,1,41.782685,12.2401154,Rwy_01_003,2,41.7918363,12.2362813
Rwy_01_003,2,41.7918363,12.2362813,Rwy_01_004,3,41.7953097,12.234837
Rwy_01_004,3,41.7953097,12.234837,Rwy_01_005,4,41.7974293,12.2339519
Rwy_01_02,5,41.7995738,12.2330477,Rwy_01_005,4,41.7974293,12.2339519
Rwy_01_02,5,41.7995738,12.2330477,Rwy_01_006,6,41.8022331,12.2319319
Rwy_01_006,6,41.8022331,12.2319319,Rwy_01_007,7,41.8077904,12.229623
Rwy_01_007,7,41.8077904,12.229623,Rwy_01_008,8,41.8149999,12.2266049
Rwy_01_008,8,41.8149999,12.2266049,Rwy_01_009,9,41.8153877,12.2264332
Rwy_01_02,5,41.7995738,12.2330477,Rwy_02_001,10,41.800397,12.2359886
Rwy_02_001,10,41.800397,12.2359886,Rwy_02_002,11,41.8013967,12.2396257
Rwy_02_003,12,41.8034281,12.2469427,Rwy_02_002,11,41.8013967,12.2396257
Rwy_02_003,12,41.8034281,12.2469427,Rwy_02_004,13,41.8052529,12.2535688
Rwy_02_004,13,41.8052529,12.2535688,Rwy_02_005,14,41.8071946,12.2606683
Rwy_02_005,14,41.8071946,12.2606683,Rwy_02_006,15,41.8074025,12.2613979
Rwy_02_006,15,41.8074025,12.2613979,Rwy_02_007,16,41.8096291,12.2695454
Rwy_02_007,16,41.8096291,12.2695454,Rwy_02_008,17,41.809917,12.2705647
Rwy_03_001,18,41.8132825,12.2751818,Rwy_03_002,19,41.8152848,12.2743437
Rwy_03_003,20,41.821855,12.2716104,Rwy_03_002,19,41.8152848,12.2743437
Rwy_03_003,20,41.821855,12.2716104,Rwy_03_004,21,41.8245704,12.2704743
Rwy_03_004,21,41.8245704,12.2704743,Rwy_03_005,22,41.8281494,12.2689665
Rwy_03_005,22,41.8281494,12.2689665,Rwy_03_006,23,41.8300672,12.26815
Rwy_03_006,23,41.8300672,12.26815,Rwy_03_007,24,41.8333252,12.2668049
Rwy_03_007,24,41.8333252,12.2668049,Rwy_03_008,25,41.8362537,12.2655752
Rwy_03_008,25,41.8362537,12.2655752,Rwy_03_009,26,41.8440155,12.2623153
Rwy_03_009,26,41.8440155,12.2623153,Rwy_03_010,27,41.8452344,12.2618057
Rwy_01_009,9,41.8153877,12.2264332,Txy_AA_001,43,41.8157207,12.2278302
Rwy_01_008,8,41.8149999,12.2266049,Txy_AB_001,44,41.8148012,12.2275191
Txy_AA_001,43,41.8157207,12.2278302,Txy_A_AA,42,41.8150236,12.2300012
Txy_AB_001,44,41.8148012,12.2275191,Txy_A_AB,41,41.8138882,12.2303338
Txy_A_AB,41,41.8138882,12.2303338,Txy_A_AA,42,41.8150236,12.2300012
Txy_A_AB,41,41.8138882,12.2303338,Txy_A_AC,40,41.8084332,12.2326035
Rwy_01_007,7,41.8077904,12.229623,Txy_A_AC,40,41.8084332,12.2326035
Txy_A_AD,38,41.8062618,12.2335155,Txy_A_AC,40,41.8084332,12.2326035
Txy_A_AD,38,41.8062618,12.2335155,Txy_AD_001,39,41.8060139,12.2326572
Rwy_01_006,6,41.8022331,12.2319319,Txy_AD_001,39,41.8060139,12.2326572
Rwy_02_001,10,41.800397,12.2359886,Txy_A_AD,38,41.8062618,12.2335155
Rwy_02_001,10,41.800397,12.2359886,Txy_A_B,37,41.7982421,12.2369018
Rwy_01_005,4,41.7974293,12.2339519,Txy_AE_AF,45,41.7978615,12.2355195
Txy_AE_AF,45,41.7978615,12.2355195,Txy_A_B,37,41.7982421,12.2369018
Rwy_01_004,3,41.7953097,12.234837,Txy_AE_AF,45,41.7978615,12.2355195
Txy_A_B,37,41.7982421,12.2369018,Txy_A_M,36,41.7966657,12.2375315
Txy_A_M,36,41.7966657,12.2375315,Txy_A_V,35,41.7931992,12.2389987
Txy_A_W,34,41.7926953,12.2392026,Txy_A_V,35,41.7931992,12.2389987
Txy_A_W,34,41.7926953,12.2392026,Rwy_01_004,3,41.7953097,12.234837
Txy_A_V,35,41.7931992,12.2389987,Rwy_01_004,3,41.7953097,12.234837
Rwy_01_003,2,41.7918363,12.2362813,Txy_AH_001,33,41.7900682,12.2386746
Txy_AH_001,33,41.7900682,12.2386746,Txy_A_Y,32,41.7892843,12.2406326
Txy_A_Y,32,41.7892843,12.2406326,Txy_A_W,34,41.7926953,12.2392026
Txy_A_Y,32,41.7892843,12.2406326,Txy_A_002,31,41.7833601,12.2431176
