n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_J2_Z,218,25.24705,55.3691336,Txy_W_Z,197,25.24749,55.368347
Txy_W_Z,197,25.24749,55.368347,Txy_Z_001,198,25.2481171,55.3661232
Txy_Z_001,198,25.2481171,55.3661232,Txy_Z_002,199,25.2484417,55.3655039
Txy_Z_003,200,25.248794,55.3648866,Txy_Z_002,199,25.2484417,55.3655039
Txy_Z_004,201,25.2491676,55.3642148,Txy_Z_003,200,25.248794,55.3648866
Txy_Z_005,202,25.2495752,55.3634799,Txy_Z_004,201,25.2491676,55.3642148
Txy_Z_005,202,25.2495752,55.3634799,Txy_Z_006,203,25.2499973,55.3627396
Txy_Z_006,203,25.2499973,55.3627396,Txy_Z_007,204,25.2504162,55.361985
Txy_Z_007,204,25.2504162,55.361985,Txy_Z_008,205,25.2508899,55.3610749
Txy_Z_008,205,25.2508899,55.3610749,Txy_Z_009,206,25.2513072,55.3603936
Txy_Z_010,207,25.2516905,55.3597445,Txy_Z_009,206,25.2513072,55.3603936
Txy_Z_011,208,25.2524376,55.358382,Txy_Z_010,207,25.2516905,55.3597445
Txy_Z_011,208,25.2524376,55.358382,Txy_Z_012,209,25.2528064,55.3577471
Txy_Z_013,210,25.2532042,55.3570282,Txy_Z_012,209,25.2528064,55.3577471
Txy_Z_013,210,25.2532042,55.3570282,Txy_Z_014,211,25.2535972,55.3562987
Txy_Z_014,211,25.2535972,55.3562987,Txy_Z_015,212,25.2540177,55.3555503
Txy_Z_015,212,25.2540177,55.3555503,Txy_Z_016,213,25.2544204,55.3548047
Txy_Z_016,213,25.2544204,55.3548047,Txy_Z_017,214,25.2548182,55.3540697
Txy_Z_017,214,25.2548182,55.3540697,Txy_Z_018,215,25.2552355,55.3533294
Txy_Z_018,215,25.2552355,55.3533294,Txy_Z_019,216,25.2556576,55.3525608
Txy_Z_020,217,25.2560166,55.3519332,Txy_Z_019,216,25.2556576,55.3525608
Txy_Z_020,217,25.2560166,55.3519332,Txy_Z_031,249,25.256455,55.3511452
Txy_Z_031,249,25.256455,55.3511452,Txy_Y_Z,181,25.2568135,55.3504475
Txy_Y_Z,181,25.2568135,55.3504475,Txy_Y1_Y,182,25.255232,55.349402
Txy_X_001,183,25.253649,55.3491175,Txy_Y1_Y,182,25.255232,55.349402
Txy_X_001,183,25.253649,55.3491175,Txy_X_002,184,25.2528436,55.3504478
Txy_X_003,185,25.2522633,55.3515476,Txy_X_002,184,25.2528436,55.3504478
Txy_X_004,186,25.2513668,55.3528529,Txy_X_003,185,25.2522633,55.3515476
Txy_X_005,187,25.2505614,55.3542959,Txy_X_004,186,25.2513668,55.3528529
Txy_X_006,188,25.249722,55.3558462,Txy_X_005,187,25.2505614,55.3542959
Txy_X_006,188,25.249722,55.3558462,Txy_X_007,189,25.2487856,55.3572463
Txy_X_008,190,25.2481403,55.3584417,Txy_X_007,189,25.2487856,55.3572463
Txy_X_009,191,25.2474513,55.3596809,Txy_X_008,190,25.2481403,55.3584417
Txy_X_010,192,25.2464712,55.361419,Txy_X_009,191,25.2474513,55.3596809
Txy_X_011,193,25.2456657,55.3628727,Txy_X_010,192,25.2464712,55.361419
Txy_X_011,193,25.2456657,55.3628727,Txy_X_012,194,25.244967,55.3641012
Txy_X_013,195,25.2444285,55.3656622,Txy_X_012,194,25.244967,55.3641012
Txy_X_013,195,25.2444285,55.3656622,Txy_X_W,196,25.2456357,55.3671614
Txy_X_W,196,25.2456357,55.3671614,Txy_W_Z,197,25.24749,55.368347
Txy_X_007,189,25.2487856,55.3572463,Txy_J_003,246,25.2478576,55.3573969
Txy_X_008,190,25.2481403,55.3584417,Txy_J_003,246,25.2478576,55.3573969
Txy_J_002,245,25.2507542,55.3524402,Txy_X_004,186,25.2513668,55.3528529
Txy_Y1_Y,182,25.255232,55.349402,Txy_J1_001,238,25.255631,55.3487325
Txy_Y_Z,181,25.2568135,55.3504475,Txy_J1_Z,251,25.2571656,55.3497781
Txy_J1_Z,251,25.2571656,55.3497781,Txy_L3_K,180,25.2579196,55.3502544
Txy_L3_K,180,25.2579196,55.3502544,Txy_Y_001,250,25.2575586,55.3509582
Txy_Y_001,250,25.2575586,55.3509582,Txy_Y_Z,181,25.2568135,55.3504475
Txy_L4_K,179,25.2571142,55.3517779,Txy_Y_001,250,25.2575586,55.3509582
Txy_L4_K,179,25.2571142,55.3517779,Txy_Z_031,249,25.256455,55.3511452
Txy_Z_016,213,25.2544204,55.3548047,Txy_K_004,178,25.2551844,55.3553077
Txy_Z_014,211,25.2535972,55.3562987,Txy_K1_K,158,25.2541765,55.3571106
Txy_Z_013,210,25.2532042,55.3570282,Txy_K1_K,158,25.2541765,55.3571106
Txy_Z_011,208,25.2524376,55.358382,Txy_K2_K,159,25.2532821,55.3587231
Txy_Z_007,204,25.2504162,55.361985,Txy_K3_K,160,25.2513093,55.3622593
Txy_Z_006,203,25.2499973,55.3627396,Txy_K4_K,161,25.2508435,55.3630586
Txy_Z_005,202,25.2495752,55.3634799,Txy_K5_K,162,25.2504602,55.363933
Txy_J_006,253,25.2452361,55.3679075,Txy_X_W,196,25.2456357,55.3671614
Txy_J1_001,238,25.255631,55.3487325,Txy_J1_Z,251,25.2571656,55.3497781
Txy_J1_001,238,25.255631,55.3487325,Txy_J_001,244,25.2534566,55.3483096
Txy_J_001,244,25.2534566,55.3483096,Txy_J_002,245,25.2507542,55.3524402
Txy_J_002,245,25.2507542,55.3524402,Txy_J_003,246,25.2478576,55.3573969
Txy_J_003,246,25.2478576,55.3573969,Txy_J_004,247,25.2450531,55.3624395
Txy_J_004,247,25.2450531,55.3624395,Txy_J_005,248,25.2436824,55.3656769
Txy_J_004,247,25.2450531,55.3624395,Txy_X_011,193,25.2456657,55.3628727
Txy_J2_J,252,25.243975,55.3671462,Txy_J_005,248,25.2436824,55.3656769
Txy_J2_J,252,25.243975,55.3671462,Txy_J_006,253,25.2452361,55.3679075
Txy_J2_Z,218,25.24705,55.3691336,Txy_J_006,253,25.2452361,55.3679075
Txy_L4_K,179,25.2571142,55.3517779,Txy_K_004,178,25.2551844,55.3553077
Txy_K_004,178,25.2551844,55.3553077,Txy_K1_K,158,25.2541765,55.3571106
Txy_K1_K,158,25.2541765,55.3571106,Txy_K2_K,159,25.2532821,55.3587231
Txy_K2_K,159,25.2532821,55.3587231,Txy_K3_K,160,25.2513093,55.3622593
Txy_K3_K,160,25.2513093,55.3622593,Txy_K4_K,161,25.2508435,55.3630586
Txy_K4_K,161,25.2508435,55.3630586,Txy_K5_K,162,25.2504602,55.363933
Txy_W_K,254,25.2482639,55.3688042,Txy_W_Z,197,25.24749,55.368347
Txy_W_Z,197,25.24749,55.368347,Txy_K7_K,163,25.247834,55.3696169
Txy_K7_K,163,25.247834,55.3696169,Txy_J2_Z,218,25.24705,55.3691336
Txy_K5_K,162,25.2504602,55.363933,Txy_W_K,254,25.2482639,55.3688042
Txy_J1_Z,251,25.2571656,55.3497781,Txy_Z_023,239,25.2580519,55.3480029
Txy_Z_023,239,25.2580519,55.3480029,Txy_Z_024,240,25.2588437,55.3467115
Txy_Z_024,240,25.2588437,55.3467115,Txy_Z_025,241,25.259649,55.3452631
Txy_Z_025,241,25.259649,55.3452631,Txy_Z_026,242,25.2604204,55.3438469
Txy_Z_027,243,25.2612524,55.3423724,Txy_Z_026,242,25.2604204,55.3438469
Txy_L_002,235,25.2618904,55.3407829,Txy_Z_027,243,25.2612524,55.3423724
Txy_L_002,235,25.2618904,55.3407829,Txy_L_003,236,25.2609284,55.340123
Txy_L_003,236,25.2609284,55.340123,Txy_L_004,237,25.2598902,55.3394203
Txy_L_002,235,25.2618904,55.3407829,Txy_L_001,234,25.2626545,55.3417726
Txy_L_001,234,25.2626545,55.3417726,Txy_K_008,233,25.2616935,55.3433456
Txy_K_008,233,25.2616935,55.3433456,Txy_K_007,232,25.2611792,55.344338
Txy_K_007,232,25.2611792,55.344338,Txy_Z_026,242,25.2604204,55.3438469
Txy_K_007,232,25.2611792,55.344338,Txy_L2_L,229,25.2603545,55.3458186
Txy_Z_025,241,25.259649,55.3452631,Txy_L2_L,229,25.2603545,55.3458186
Txy_Z_024,240,25.2588437,55.3467115,Txy_K_006,231,25.2596122,55.3471865
Txy_K_006,231,25.2596122,55.3471865,Txy_L2_L,229,25.2603545,55.3458186
Txy_K_006,231,25.2596122,55.3471865,Txy_K_005,230,25.2588505,55.3485384
Txy_K_005,230,25.2588505,55.3485384,Txy_Z_023,239,25.2580519,55.3480029
Txy_L3_K,180,25.2579196,55.3502544,Txy_K_005,230,25.2588505,55.3485384
Txy_L_005,255,25.2636953,55.3412044,Txy_L_006,256,25.26452,55.3396916
Txy_L_006,256,25.26452,55.3396916,Txy_L_001,234,25.2626545,55.3417726
Txy_K7_K,163,25.247834,55.3696169,Txy_K8_K,164,25.2461601,55.3726853
Txy_K8_K,164,25.2461601,55.3726853,Txy_K10_K,165,25.2436614,55.3772407
Txy_K10_K,165,25.2436614,55.3772407,Txy_K11_K,166,25.2432138,55.3780761
Txy_K11_K,166,25.2432138,55.3780761,Txy_Z_028,226,25.2424593,55.3775446
Txy_J2_Z,218,25.24705,55.3691336,Txy_Z_021,219,25.2460408,55.370979
Txy_Z_021,219,25.2460408,55.370979,Txy_Z_022,220,25.2455216,55.371907
Txy_Z_023,239,25.2580519,55.3480029,Txy_Z_022,220,25.2455216,55.371907
Txy_Z_024,240,25.2588437,55.3467115,Txy_Z_023,239,25.2580519,55.3480029
Txy_Z_025,241,25.259649,55.3452631,Txy_Z_024,240,25.2588437,55.3467115
Txy_Z_025,241,25.259649,55.3452631,Txy_Z_026,242,25.2604204,55.3438469
Txy_Z_027,243,25.2612524,55.3423724,Txy_Z_026,242,25.2604204,55.3438469
Txy_Z_027,243,25.2612524,55.3423724,Txy_Z_028,226,25.2424593,55.3775446
Txy_Z_022,220,25.2455216,55.371907,Txy_K8_K,164,25.2461601,55.3726853
Txy_J2_J,252,25.243975,55.3671462,Txy_J_007,258,25.2429108,55.3687711
Txy_J_008,259,25.2422409,55.3699507,Txy_J_007,258,25.2429108,55.3687711
Txy_J_008,259,25.2422409,55.3699507,Txy_J_009,260,25.2414354,55.3714206
Txy_J_010,261,25.2406922,55.3728055,Txy_J_009,260,25.2414354,55.3714206
Txy_J_010,261,25.2406922,55.3728055,Txy_J_011,262,25.2396739,55.3749321
Txy_J_012,263,25.2409792,55.3764824,Txy_J_011,262,25.2396739,55.3749321
Txy_J_012,263,25.2409792,55.3764824,Txy_Z_028,226,25.2424593,55.3775446
Txy_K11_K,166,25.2432138,55.3780761,Txy_K12_K,167,25.2419232,55.3803828
Txy_K14_K,168,25.2392005,55.3853202,Txy_K12_K,167,25.2419232,55.3803828
Txy_Z_029,227,25.2408096,55.3805272,Txy_K12_K,167,25.2419232,55.3803828
Txy_K14_K,168,25.2392005,55.3853202,Txy_K15_K,169,25.2357988,55.3913729
